Date,Name,Year,Letterboxd URI
2022-12-20,Joker,2019,https://boxd.it/h4cS
2022-12-20,Fight Club,1999,https://boxd.it/2a9q
2022-12-20,The Batman,2022,https://boxd.it/eDGs
2022-12-20,Knives Out,2019,https://boxd.it/jWEA
2022-12-20,Get Out,2017,https://boxd.it/eOCm
2022-12-20,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY
2022-12-20,Spider-Man: No Way Home,2021,https://boxd.it/nwRw
2022-12-20,The Dark Knight,2008,https://boxd.it/2b0k
2022-12-20,Everything Everywhere All at Once,2022,https://boxd.it/jUk4
2022-12-20,Interstellar,2014,https://boxd.it/4VZ8
2022-12-21,Sorry to Bother You,2018,https://boxd.it/f21E
2022-12-21,Uncut Gems,2019,https://boxd.it/gXGc
2022-12-21,Paprika,2006,https://boxd.it/23wW
2022-12-21,Perfect Blue,1997,https://boxd.it/1W7A
2022-12-21,Harakiri,1962,https://boxd.it/1NTU
2022-12-21,Spirited Away,2001,https://boxd.it/2b4m
2022-12-21,Neon Genesis Evangelion: The End of Evangelion,1997,https://boxd.it/1GRM
2022-12-21,Whiplash,2014,https://boxd.it/7bQA
2022-12-21,Bullet Train,2022,https://boxd.it/qW26
2022-12-21,Speed Racer,2008,https://boxd.it/20UQ
2022-12-21,Fallen Angels,1995,https://boxd.it/1UkW
2022-12-21,Neon Genesis Evangelion,1995,https://boxd.it/ptEI
2022-12-21,The Social Network,2010,https://boxd.it/17ue
2022-12-21,Arrival,2016,https://boxd.it/aNGk
2022-12-21,Soul,2020,https://boxd.it/ioLA
2022-12-21,The Wave,2015,https://boxd.it/baoo
2022-12-28,Glass Onion,2022,https://boxd.it/oCkK
2023-01-01,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO
2023-06-25,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4
2023-06-26,The Wolf of Wall Street,2013,https://boxd.it/3C1m
2023-06-26,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6
2023-07-24,Triangle of Sadness,2022,https://boxd.it/hXlq
2023-08-20,Barbie,2023,https://boxd.it/bCLK
2023-10-22,Killers of the Flower Moon,2023,https://boxd.it/gHp0
2023-12-29,Leave the World Behind,2023,https://boxd.it/re0i
